name,symbol,token_id,price,market_cap,volume_24h,change_24h,total_supply,icon
USDX [Kava],USDX,460,0.653110422310243,72865742.90703836,278773.72017506,-7.91628745,111567264.0,https://s2.coinmarketcap.com/static/img/coins/64x64/6651.png
SLERF,SLERF,458,0.14587633566655056,72937839.61152004,8310843.37218012,7.88812286,499997750.0,https://s2.coinmarketcap.com/static/img/coins/64x64/29920.png
Constellation,DAG,461,0.025198756729812456,72407325.14097078,357950.39733165,9.80545464,2873448318.0,https://s2.coinmarketcap.com/static/img/coins/64x64/2868.png
Orchid,OXT,463,0.07340116623748648,71916929.16969849,2459135.95063647,3.38336762,979779107.8279902,https://s2.coinmarketcap.com/static/img/coins/64x64/5026.png
Lista DAO,LISTA,462,0.3998294576397206,72069008.35289215,11356966.07214062,14.40003305,180249371.2652665,https://s2.coinmarketcap.com/static/img/coins/64x64/21533.png
MAGA,MAGA,464,0.00018374619085518077,71708585.55794875,15060714.88520028,12.60615878,390258895840.0,https://s2.coinmarketcap.com/static/img/coins/64x64/31305.png
Shuffle,SHFL,465,0.5321123438017396,71661522.26345348,3798281.06872802,13.89558588,134673670.13412857,https://s2.coinmarketcap.com/static/img/coins/64x64/29960.png
Wen,WEN,466,9.768429691289952e-05,71086518.74217209,8674190.61726946,9.06957008,727716951329.0,https://s2.coinmarketcap.com/static/img/coins/64x64/29175.png
Hifi Finance,HIFI,467,0.5105754421875585,70583487.27760416,61812155.64598141,11.59408571,138243012.58045137,https://s2.coinmarketcap.com/static/img/coins/64x64/23037.png
SmarDex,SDEX,468,0.008086683326796639,70252964.67241514,372470.63399607,1.82869828,8687488038.466852,https://s2.coinmarketcap.com/static/img/coins/64x64/24203.png
Liquity USD,LUSD,469,1.0016797885608886,70038225.64746295,37989.18163959,0.25290805,69920773.53191556,https://s2.coinmarketcap.com/static/img/coins/64x64/9566.png
Aurora,AURORA,470,0.1331741970914695,69844331.25532204,487314.37478194,2.51868869,524458437.0,https://s2.coinmarketcap.com/static/img/coins/64x64/14803.png
Dogelon Mars,ELON,471,1.2674142733031982e-07,69663776.62608981,1148659.20478035,2.55153592,549652770159583.3,https://s2.coinmarketcap.com/static/img/coins/64x64/9436.png
BUSD,BUSD,473,1.000786970557691,69566151.24099086,6167970.51959584,0.05944346,69511447.77816696,https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png
Stride,STRD,474,0.7920106465887723,69558911.62040964,36565.84302597,8.16357285,87825728.0,https://s2.coinmarketcap.com/static/img/coins/64x64/21781.png
StormX,STMX,472,0.0057760116743949645,69585950.59887023,3699158.8076047,5.08939908,12047404770.205791,https://s2.coinmarketcap.com/static/img/coins/64x64/2297.png
MyNeighborAlice,ALICE,475,1.0228219942607304,69463250.69595307,7652001.52713052,7.60214569,67913333.0,https://s2.coinmarketcap.com/static/img/coins/64x64/8766.png
Snek,SNEK,476,0.0009384936286346315,68730902.84423503,821440.94292117,8.49632248,73235343051.0,https://s2.coinmarketcap.com/static/img/coins/64x64/25264.png
Verum Coin,VERUM,477,734.6875573713129,68623491.29626748,43756.11968474,0.98142955,93405.0,https://s2.coinmarketcap.com/static/img/coins/64x64/30915.png
Hashflow,HFT,478,0.15003658319646454,68610637.88117647,3816306.39443751,6.8932276,457292724.344,https://s2.coinmarketcap.com/static/img/coins/64x64/22461.png
Matr1x Fire,FIRE,479,1.00295628343489,67837351.2969831,3683389.96257359,2.77860268,67637395.98365751,https://s2.coinmarketcap.com/static/img/coins/64x64/29273.png
Hoppy,HOPPY,480,0.00016043267298283378,67492421.19714834,4443449.62616321,19.67768484,420690000000.0,https://s2.coinmarketcap.com/static/img/coins/64x64/30859.png
Loom Network,LOOM,481,0.054194138756300816,67161218.98004395,7664922.47690887,5.7701473,1239270897.5790398,https://s2.coinmarketcap.com/static/img/coins/64x64/2588.png
Zebec Network,ZBCN,482,0.0010665103260515453,66916463.831092976,6735392.37721908,8.93500877,62743381096.77042,https://s2.coinmarketcap.com/static/img/coins/64x64/30636.png
